"customerkey","geographykey","customername","geographykey-2","city","state","countryregioncode","country","postalcode"
11033,9,"Jaime Nath",9,"Milsons Point","New South Wales","AU","Australia","2061"
11034,12,"Ebony Gonzalez",12,"North Sydney","New South Wales","AU","Australia","2055"
11035,33,"Wendy Dominguez",33,"Cranbourne","Victoria","AU","Australia","3977"
12002,5,"Adriana A Lopez",5,"Lane Cove","New South Wales","AU","Australia","1597"
11036,343,"Jennifer C Russell",343,"National City","California","US","United States","91950"
12003,25,"Audrey V Munoz",25,"Hervey Bay","Queensland","AU","Australia","4655"
11037,49,"Chloe M Garcia",49,"Cliffside","British Columbia","CA","Canada","V8Y 1L1"
11038,6,"Diana F Hernandez",6,"Lavender Bay","New South Wales","AU","Australia","2060"
13750,611,"Raymond A Sai",611,"Bremerton","Washington","US","United States","98312"
13856,336,"Ian Scott",336,"Lincoln Acres","California","US","United States","91950"
11039,19,"Marc J Martin",19,"Wollongong","New South Wales","AU","Australia","2500"
11040,642,"Jesse Murphy",642,"Tacoma","Washington","US","United States","98403"
11041,325,"Amanda M Carter",325,"Glendale","California","US","United States","91203"
11042,338,"Megan J Sanchez",338,"Los Angeles","California","US","United States","90012"
14146,238,"Toni E Sara",238,"Gateshead","England","GB","United Kingdom","GA10"
11043,325,"Nathan M Simmons",325,"Glendale","California","US","United States","91203"
11044,25,"Adam L Flores",25,"Hervey Bay","Queensland","AU","Australia","4655"
11045,8,"Leonard G Nara",8,"Matraville","New South Wales","AU","Australia","2036"
11046,6,"Christine Yuan",6,"Lavender Bay","New South Wales","AU","Australia","2060"
11047,34,"Jaclyn D Lu",34,"Geelong","Victoria","AU","Australia","3220"
11048,39,"Jeremy Powell",39,"Sunbury","Victoria","AU","Australia","3429"
11049,307,"Carol C Rai",307,"Chula Vista","California","US","United States","91910"
14661,56,"Jade D Ward",56,"Newton","British Columbia","CA","Canada","V2M1N7"
11050,31,"Alan Zheng",31,"Hobart","Tasmania","AU","Australia","7001"
12004,36,"Jarrod E Suri",36,"Melton","Victoria","AU","Australia","3337"
11051,21,"Daniel Johnson",21,"Caloundra","Queensland","AU","Australia","4551"
11052,8,"Heidi Lopez",8,"Matraville","New South Wales","AU","Australia","2036"
11053,359,"Ana E Price",359,"San Diego","California","US","United States","92102"
11054,34,"Deanna Munoz",34,"Geelong","Victoria","AU","Australia","3220"
11055,22,"Gilbert Raje",22,"East Brisbane","Queensland","AU","Australia","4169"
11056,10,"Michele L Nath",10,"Newcastle","New South Wales","AU","Australia","2300"
15127,5,"Wesley K Yang",5,"Lane Cove","New South Wales","AU","Australia","1597"
12005,24,"Gilbert C Shen",24,"Hawthorne","Queensland","AU","Australia","4171"
12006,27,"Richard Blue",27,"Townsville","Queensland","AU","Australia","4810"
12007,20,"Shannon Sun",20,"Brisbane","Queensland","AU","Australia","4000"
11057,5,"Carl J Andersen",5,"Lane Cove","New South Wales","AU","Australia","1597"
11058,29,"Marc Diaz",29,"Findon","South Australia","AU","Australia","5023"
12008,25,"Sharon Yuan",25,"Hervey Bay","Queensland","AU","Australia","4655"
12009,11,"Ann Martinez",11,"North Ryde","New South Wales","AU","Australia","2113"
12010,27,"Max E Serrano",27,"Townsville","Queensland","AU","Australia","4810"
12059,635,"Jason L Jenkins",635,"Renton","Washington","US","United States","98055"
11059,27,"Ashlee J Andersen",27,"Townsville","Queensland","AU","Australia","4810"
11060,40,"Jon L Zhou",40,"Warrnambool","Victoria","AU","Australia","3280"
11061,23,"Todd M Gao",23,"Gold Coast","Queensland","AU","Australia","4217"
11062,547,"Noah D Powell",547,"Portland","Oregon","US","United States","97205"
16140,59,"Seth M Harris",59,"Oak Bay","British Columbia","CA","Canada","V8P"
11063,634,"Angela Murphy",634,"Redmond","Washington","US","United States","98052"
16225,336,"Wyatt J Nelson",336,"Lincoln Acres","California","US","United States","91950"
16260,262,"Gina Schmidt",262,"Oxford","England","GB","United Kingdom","OX1"
16284,120,"Troy D Perez",120,"Hof","Bayern","DE","Germany","95010"
11064,315,"Chase Reed",315,"Downey","California","US","United States","90241"
12160,536,"Jaclyn Zhang",536,"Beaverton","Oregon","US","United States","97005"
11065,331,"Jessica Henderson",331,"La Jolla","California","US","United States","92806"
11066,543,"Grace T Butler",543,"Lebanon","Oregon","US","United States","97355"
11067,632,"Caleb F Carter",632,"Port Orchard","Washington","US","United States","98366"
11068,40,"Tiffany Liang",40,"Warrnambool","Victoria","AU","Australia","3280"
11069,23,"Carolyn Navarro",23,"Gold Coast","Queensland","AU","Australia","4217"
11070,39,"Willie T Raji",39,"Sunbury","Victoria","AU","Australia","3429"
11071,24,"Linda Serrano",24,"Hawthorne","Queensland","AU","Australia","4171"
11072,17,"Casey Luo",17,"St. Leonards","New South Wales","AU","Australia","2065"
11073,16,"Amy Ye",16,"Springwood","New South Wales","AU","Australia","2777"
11074,28,"Levi A Arun",28,"Cloverdale","South Australia","AU","Australia","6105"
12210,247,"Alan A He",247,"London","England","GB","United Kingdom","SE1 8HL"
11075,32,"Felicia L Jimenez",32,"Bendigo","Victoria","AU","Australia","3550"
11076,19,"Blake Anderson",19,"Wollongong","New South Wales","AU","Australia","2500"
11077,36,"Leah Ye",36,"Melton","Victoria","AU","Australia","3337"
11078,49,"Gina E Martin",49,"Cliffside","British Columbia","CA","Canada","V8Y 1L1"
11079,34,"Donald Gonzalez",34,"Geelong","Victoria","AU","Australia","3220"
17818,135,"Dale Yuan",135,"Salzgitter","Hessen","DE","Germany","38231"
11080,30,"Damien Chander",30,"Perth","South Australia","AU","Australia","6006"
11081,311,"Savannah C Baker",311,"Concord","California","US","United States","94519"
11082,322,"Angela L Butler",322,"Fremont","California","US","United States","94536"
11083,336,"Alyssa F Cox",336,"Lincoln Acres","California","US","United States","91950"
18054,49,"Jake Zeng",49,"Cliffside","British Columbia","CA","Canada","V8Y 1L1"
18090,52,"Lucas P Smith",52,"Langley","British Columbia","CA","Canada","V3A 4R2"
12310,239,"Stacy Munoz",239,"Gloucestershire","England","GB","United Kingdom","GL7 1RY"
18133,131,"Karen E Smith",131,"Frankfurt","Hessen","DE","Germany","60323"
11084,543,"Lucas Phillips",543,"Lebanon","Oregon","US","United States","97355"
11085,345,"Emily Johnson",345,"Newport Beach","California","US","United States","92625"
11086,369,"Ryan Brown",369,"Santa Monica","California","US","United States","90401"
11087,307,"Tamara L Liang",307,"Chula Vista","California","US","United States","91910"
11088,359,"Hunter Davis",359,"San Diego","California","US","United States","92102"
11089,337,"Abigail M Price",337,"Long Beach","California","US","United States","90802"
11090,338,"Trevor Bryant",338,"Los Angeles","California","US","United States","90012"
11091,50,"Dalton Perez",50,"Haney","British Columbia","CA","Canada","V2W 1W2"
11092,22,"Cheryl A Diaz",22,"East Brisbane","Queensland","AU","Australia","4169"
11093,19,"Aimee A He",19,"Wollongong","New South Wales","AU","Australia","2500"
11094,33,"Cedric W Ma",33,"Cranbourne","Victoria","AU","Australia","3977"
11095,13,"Chad Kumar",13,"Port Macquarie","New South Wales","AU","Australia","2444"
11096,12,"Andrés Anand",12,"North Sydney","New South Wales","AU","Australia","2055"
19094,35,"Todd J Yang",35,"Melbourne","Victoria","AU","Australia","3000"
19143,614,"Lauren C Long",614,"Edmonds","Washington","US","United States","98020"
11097,40,"Edwin R Nara",40,"Warrnambool","Victoria","AU","Australia","3280"
12361,22,"Dana C Diaz",22,"East Brisbane","Queensland","AU","Australia","4169"
11098,14,"Mallory S Rubio",14,"Rhodes","New South Wales","AU","Australia","2138"
11099,13,"Adam Ross",13,"Port Macquarie","New South Wales","AU","Australia","2444"
11100,28,"Latasha L Navarro",28,"Cloverdale","South Australia","AU","Australia","6105"
11101,33,"Abby L Sai",33,"Cranbourne","Victoria","AU","Australia","3977"
11102,18,"Julia L Nelson",18,"Sydney","New South Wales","AU","Australia","1002"
11103,3,"Cassie Chande",3,"Darlinghurst","New South Wales","AU","Australia","2010"
11104,23,"Edgar A Sara",23,"Gold Coast","Queensland","AU","Australia","4217"
12508,234,"Nichole Anand",234,"Bury","England","GB","United Kingdom","PE17"
12509,221,"Marc Ferrier",221,"Drancy","Seine Saint Denis","FR","France","93700"
11105,8,"Candace Fernandez",8,"Matraville","New South Wales","AU","Australia","2036"
11106,40,"Jessie Liu",40,"Warrnambool","Victoria","AU","Australia","3280"
20025,616,"Bryce O Bell",616,"Everett","Washington","US","United States","98201"
11107,17,"Bianca Lin",17,"St. Leonards","New South Wales","AU","Australia","2065"
11108,13,"Kari C Alvarez",13,"Port Macquarie","New South Wales","AU","Australia","2444"
11109,38,"Ruben D Kapoor",38,"South Melbourne","Victoria","AU","Australia","3205"
11110,3,"Curtis Yang",3,"Darlinghurst","New South Wales","AU","Australia","2010"
11111,34,"Meredith T Gutierrez",34,"Geelong","Victoria","AU","Australia","3220"
20531,302,"James M Young",302,"Burlingame","California","US","United States","94010"
11112,25,"Crystal C Wang",25,"Hervey Bay","Queensland","AU","Australia","4655"
11113,30,"Micheal A Blanco",30,"Perth","South Australia","AU","Australia","6006"
11114,14,"Leslie C Moreno",14,"Rhodes","New South Wales","AU","Australia","2138"
11115,17,"Alvin D Cai",17,"St. Leonards","New South Wales","AU","Australia","2065"
11116,18,"Clinton E Carlson",18,"Sydney","New South Wales","AU","Australia","1002"
11117,8,"April Deng",8,"Matraville","New South Wales","AU","Australia","2036"
11118,6,"Alvin M Zeng",6,"Lavender Bay","New South Wales","AU","Australia","2060"
11119,13,"Evan V James",13,"Port Macquarie","New South Wales","AU","Australia","2444"
11120,18,"Beth H Jiménez",18,"Sydney","New South Wales","AU","Australia","1002"
11121,10,"Orlando Suarez",10,"Newcastle","New South Wales","AU","Australia","2300"
21160,307,"April Xie",307,"Chula Vista","California","US","United States","91910"
11122,12,"Byron Vazquez",12,"North Sydney","New South Wales","AU","Australia","2055"
12510,205,"Roberto Sanz",205,"Lieusaint","Seine et Marne","FR","France","77127"
11123,39,"Philip A Alvarez",39,"Sunbury","Victoria","AU","Australia","3429"
11124,40,"Ross F Jordan",40,"Warrnambool","Victoria","AU","Australia","3280"
21389,40,"Jamie Sun",40,"Warrnambool","Victoria","AU","Australia","3280"
11125,37,"Dana J Navarro",37,"Seaford","Victoria","AU","Australia","3198"
11126,11,"Shaun Carson",11,"North Ryde","New South Wales","AU","Australia","2113"
21562,3,"Drew M Jai",3,"Darlinghurst","New South Wales","AU","Australia","2010"
21628,612,"Kelli T Xu",612,"Burien","Washington","US","United States","98168"
11127,361,"Jan Edwards",361,"San Gabriel","California","US","United States","91776"
12608,234,"Brett Sanchez",234,"Bury","England","GB","United Kingdom","PE17"
11128,635,"Samantha Long",635,"Renton","Washington","US","United States","98055"
11129,638,"Julia M Wright",638,"Sedro Woolley","Washington","US","United States","98284"
11130,543,"Caroline L Russell",543,"Lebanon","Oregon","US","United States","97355"
11131,50,"Amanda Rivera",50,"Haney","British Columbia","CA","Canada","V2W 1W2"
12609,273,"Linda J Carlson",273,"Watford","England","GB","United Kingdom","WA3"
11132,51,"Melissa E Richardson",51,"Langford","British Columbia","CA","Canada","V9"
12610,278,"Wendy Gutierrez",278,"York","England","GB","United Kingdom","Y03 4TN"
12611,273,"Manuel Sara",273,"Watford","England","GB","United Kingdom","WA3"
11133,542,"Angela Griffin",542,"Lake Oswego","Oregon","US","United States","97034"
11134,30,"Larry D Townsend",30,"Perth","South Australia","AU","Australia","6006"
11135,302,"Marcus L Harris",302,"Burlingame","California","US","United States","94010"
11136,53,"Brianna D Morgan",53,"Metchosin","British Columbia","CA","Canada","V9"
12612,232,"Shannon Torres",232,"Birmingham","England","GB","United Kingdom","B29 6SL"
11137,641,"Jasmine A Taylor",641,"Spokane","Washington","US","United States","99202"
11138,325,"Lauren Davis",325,"Glendale","California","US","United States","91203"
11139,28,"Tanya Moreno",28,"Cloverdale","South Australia","AU","Australia","6105"
22756,299,"Jon Nath",299,"Berkeley","California","US","United States","94704"
12613,223,"Joel C Prasad",223,"Saint-Denis","Seine Saint Denis","FR","France","93400"
11140,301,"Javier L Alvarez",301,"Burbank","California","US","United States","91502"
11141,314,"Nicole Ramirez",314,"Daly City","California","US","United States","94015"
11142,51,"Eduardo Patterson",51,"Langford","British Columbia","CA","Canada","V9"
11143,334,"Jonathan M Henderson",334,"Lakewood","California","US","United States","90712"
12614,209,"Lance Gill",209,"Versailles","Yveline","FR","France","78000"
11144,607,"Edward Hernandez",607,"Ballard","Washington","US","United States","98107"
12615,243,"Nathan Hill",243,"Leeds","England","GB","United Kingdom","LE18"
11145,536,"Jasmine L Coleman",536,"Beaverton","Oregon","US","United States","97005"
11146,8,"Karla L Goel",8,"Matraville","New South Wales","AU","Australia","2036"
11147,40,"Ernest L Wu",40,"Warrnambool","Victoria","AU","Australia","3280"
11148,22,"Ross Vazquez",22,"East Brisbane","Queensland","AU","Australia","4169"
11149,25,"Theodore Gill",25,"Hervey Bay","Queensland","AU","Australia","4655"
11150,39,"Russell M Shen",39,"Sunbury","Victoria","AU","Australia","3429"
11151,18,"Melinda G Gill",18,"Sydney","New South Wales","AU","Australia","1002"
11152,633,"James J Williams",633,"Puyallup","Washington","US","United States","98371"
11153,635,"Angela R James",635,"Renton","Washington","US","United States","98055"
11154,553,"Megan G Walker",553,"Woodburn","Oregon","US","United States","97071"
24049,171,"Byron Gomez",171,"Neunkirchen","Saarland","DE","Germany","66578"
11155,301,"Hunter J Robinson",301,"Burbank","California","US","United States","91502"
11156,334,"Maria Roberts",334,"Lakewood","California","US","United States","90712"
11157,642,"Hannah E Long",642,"Tacoma","Washington","US","United States","98403"
11158,361,"Jason K Wright",361,"San Gabriel","California","US","United States","91776"
11159,385,"Brianna A Hughes",385,"Woodland Hills","California","US","United States","91364"
12616,134,"Kelsey Tang",134,"München","Hessen","DE","Germany","80074"
11160,311,"Maurice M Tang",311,"Concord","California","US","United States","94519"
11161,311,"Emily Wood",311,"Concord","California","US","United States","94519"
11162,331,"Chase Cox",331,"La Jolla","California","US","United States","92806"
11163,372,"Gabriel Wang",372,"Spring Valley","California","US","United States","91977"
11164,374,"Devin Brooks",374,"Torrance","California","US","United States","90505"
11165,348,"Jocelyn Alexander",348,"Oakland","California","US","United States","94611"
11166,631,"Ashley Martinez",631,"Olympia","Washington","US","United States","98501"
11167,618,"Jasmine J Barnes",618,"Issaquah","Washington","US","United States","98027"
25273,17,"Karl M Rai",17,"St. Leonards","New South Wales","AU","Australia","2065"
11168,348,"David Rodriguez",348,"Oakland","California","US","United States","94611"
12617,157,"Jake G Ma",157,"Hannover","Nordrhein-Westfalen","DE","Germany","30601"
11169,312,"Bryce Richardson",312,"Coronado","California","US","United States","92118"
11170,612,"Carol T Howard",612,"Burien","Washington","US","United States","98168"
11171,385,"Jonathan E Hill",385,"Woodland Hills","California","US","United States","91364"
11172,626,"Gabrielle J Adams",626,"Lynnwood","Washington","US","United States","98036"
25660,221,"Warren S Pal",221,"Drancy","Seine Saint Denis","FR","France","93700"
11173,552,"Sarah F Thomas",552,"W. Linn","Oregon","US","United States","97068"
12618,205,"Dawn Lal",205,"Lieusaint","Seine et Marne","FR","France","77127"
11174,338,"Nicholas Robinson",338,"Los Angeles","California","US","United States","90012"
11175,300,"Luis Wang",300,"Beverly Hills","California","US","United States","90210"
11176,50,"Mason D Roberts",50,"Haney","British Columbia","CA","Canada","V2W 1W2"
11177,359,"Jose M Flores",359,"San Diego","California","US","United States","92102"
11178,334,"Nathan J Johnson",334,"Lakewood","California","US","United States","90712"
26241,352,"James M Lal",352,"Palo Alto","California","US","United States","94303"
11179,300,"Molly E Rodriguez",300,"Beverly Hills","California","US","United States","90210"
11180,307,"April Anand",307,"Chula Vista","California","US","United States","91910"
11181,338,"Devin P Martin",338,"Los Angeles","California","US","United States","90012"
12667,31,"Maria Wood",31,"Hobart","Tasmania","AU","Australia","7001"
11182,638,"Stephanie Torres",638,"Sedro Woolley","Washington","US","United States","98284"
11183,368,"Jasmine W Lee",368,"Santa Cruz","California","US","United States","95062"
11184,311,"Meghan Hernandez",311,"Concord","California","US","United States","94519"
13014,614,"James E Clark",614,"Edmonds","Washington","US","United States","98020"
27339,15,"Ann Sai",15,"Silverwater","New South Wales","AU","Australia","2264"
11185,53,"Ashley Henderson",53,"Metchosin","British Columbia","CA","Canada","V9"
11186,352,"Sarah C Price",352,"Palo Alto","California","US","United States","94303"
27445,310,"Shaun S Tang",310,"Colma","California","US","United States","94014"
11187,612,"Jennifer S Cooper",612,"Burien","Washington","US","United States","98168"
13015,542,"Rebecca L Parker",542,"Lake Oswego","Oregon","US","United States","97034"
11188,361,"Catherine Morris",361,"San Gabriel","California","US","United States","91776"
13016,644,"Antonio R Bryant",644,"Walla Walla","Washington","US","United States","99362"
11189,609,"Lawrence W Blanco",609,"Bellingham","Washington","US","United States","98225"
11190,300,"Carson Bryant",300,"Beverly Hills","California","US","United States","90210"
11191,310,"Kristi E Perez",310,"Colma","California","US","United States","94014"
11192,637,"James C Brown",637,"Seattle","Washington","US","United States","98104"
11193,553,"Ian A Gray",553,"Woodburn","Oregon","US","United States","97071"
11194,352,"Jacqueline R Price",352,"Palo Alto","California","US","United States","94303"
11195,635,"Megan Henderson",635,"Renton","Washington","US","United States","98055"
11196,536,"Alfredo Romero",536,"Beaverton","Oregon","US","United States","97005"
11197,637,"Andrea Morris",637,"Seattle","Washington","US","United States","98104"
13017,311,"Xavier A Alexander",311,"Concord","California","US","United States","94519"
28334,611,"Marco C Tanara",611,"Bremerton","Washington","US","United States","98312"
28371,257,"Mandy Liang",257,"London","England","GB","United Kingdom","W1Y 3RA"
28583,644,"Ryan H Long",644,"Walla Walla","Washington","US","United States","99362"
13018,8,"Brendan Xie",8,"Matraville","New South Wales","AU","Australia","2036"
11199,302,"Jacqueline Bennett",302,"Burlingame","California","US","United States","94010"
11200,69,"Jason L Griffin",69,"Victoria","British Columbia","CA","Canada","V8V"
11201,369,"Amanda Foster",369,"Santa Monica","California","US","United States","90401"
11202,334,"Alexia L Price",334,"Lakewood","California","US","United States","90712"
11203,60,"Luis D Diaz",60,"Port Hammond","British Columbia","CA","Canada","V6B 3P7"
13116,12,"Tyrone Diaz",12,"North Sydney","New South Wales","AU","Australia","2055"
13168,369,"Hannah A Price",369,"Santa Monica","California","US","United States","90401"
11204,536,"Destiny C Rivera",536,"Beaverton","Oregon","US","United States","97005"
11205,612,"Abby Fernandez",612,"Burien","Washington","US","United States","98168"
11206,626,"Blake Flores",626,"Lynnwood","Washington","US","United States","98036"
11207,635,"Danielle Cox",635,"Renton","Washington","US","United States","98055"
11208,325,"Maria Reed",325,"Glendale","California","US","United States","91203"
11209,336,"Allison Evans",336,"Lincoln Acres","California","US","United States","91950"
11210,383,"Edward J Wood",383,"West Covina","California","US","United States","91791"
11211,50,"Samantha Russell",50,"Haney","British Columbia","CA","Canada","V2W 1W2"
11212,53,"Chloe Campbell",53,"Metchosin","British Columbia","CA","Canada","V9"
11213,614,"Stephanie B Murphy",614,"Edmonds","Washington","US","United States","98020"
11214,545,"Charles O Miller",545,"Milwaukie","Oregon","US","United States","97222"
11215,62,"Ana Perry",62,"Royal Oak","British Columbia","CA","Canada","V8X"
11216,547,"Jasmine A Torres",547,"Portland","Oregon","US","United States","97205"
11217,547,"Natalie P Adams",547,"Portland","Oregon","US","United States","97205"
11218,642,"Olivia Brown",642,"Tacoma","Washington","US","United States","98403"
11219,553,"Charles Cook",553,"Woodburn","Oregon","US","United States","97071"
11220,310,"Erica C Huang",310,"Colma","California","US","United States","94014"
11221,334,"Nathan Perry",334,"Lakewood","California","US","United States","90712"
11222,369,"Alexandra Rivera",369,"Santa Monica","California","US","United States","90401"
11223,52,"Hailey I Patterson",52,"Langley","British Columbia","CA","Canada","V3A 4R2"
11224,612,"Tiffany J Li",612,"Burien","Washington","US","United States","98168"
11225,635,"Madison D Lee",635,"Renton","Washington","US","United States","98055"
11226,552,"Sydney T Ross",552,"W. Linn","Oregon","US","United States","97068"
11227,310,"Marshall D Chavez",310,"Colma","California","US","United States","94014"
11228,316,"Ashley R Jones",316,"El Cajon","California","US","United States","92020"
11229,355,"Adrian C Stewart",355,"Redwood City","California","US","United States","94063"
11230,369,"Amber Turner",369,"Santa Monica","California","US","United States","90401"
11231,611,"Dennis Zhang",611,"Bremerton","Washington","US","United States","98312"
11232,616,"Hailey R Bryant",616,"Everett","Washington","US","United States","98201"
11233,299,"Todd Li",299,"Berkeley","California","US","United States","94704"
11234,337,"Anna Griffin",337,"Long Beach","California","US","United States","90802"
11235,607,"Angel J Stewart",607,"Ballard","Washington","US","United States","98107"
11236,609,"Jeremy Butler",609,"Bellingham","Washington","US","United States","98225"
11237,161,"Clarence M Anand",161,"Solingen","Nordrhein-Westfalen","DE","Germany","42651"
11238,232,"Mayra Prasad",232,"Birmingham","England","GB","United Kingdom","B29 6SL"
11239,249,"Latoya C Goel",249,"London","England","GB","United Kingdom","SW1P 2NU"
11240,273,"Anne B Hernandez",273,"Watford","England","GB","United Kingdom","WA3"
11241,211,"Lisa Cai",211,"Les Ulis","Essonne","FR","France","91940"
11242,209,"Larry Munoz",209,"Versailles","Yveline","FR","France","78000"
11243,237,"Robin V Alvarez",237,"Esher-Molesey","England","GB","United Kingdom","EM15"
11244,267,"Alexis M Coleman",267,"Runcorn","England","GB","United Kingdom","TY31"
11245,132,"Ricky D Vazquez",132,"Hamburg","Hessen","DE","Germany","22001"
11246,147,"Latasha Rubio",147,"Hamburg","Hamburg","DE","Germany","20354"
11247,242,"Claudia M Zhou",242,"Lancaster","England","GB","United Kingdom","LA1 1LN"
11248,223,"Tristan P Alexander",223,"Saint-Denis","Seine Saint Denis","FR","France","93400"
11249,178,"Cindy A Patel",178,"Sulzbach Taunus","Saarland","DE","Germany","66272"
11250,276,"Shannon D Liu",276,"Woolston","England","GB","United Kingdom","WA1 4SY"
11251,50,"Xavier Long",50,"Haney","British Columbia","CA","Canada","V2W 1W2"
11252,335,"Nicholas D Thompson",335,"Lemon Grove","California","US","United States","91945"
11253,69,"José M Hernandez",69,"Victoria","British Columbia","CA","Canada","V8V"
11254,612,"Johnathan W Vance",612,"Burien","Washington","US","United States","98168"
11255,612,"Colin Lin",612,"Burien","Washington","US","United States","98168"
11256,626,"Katelyn L Hernandez",626,"Lynnwood","Washington","US","United States","98036"
11257,345,"Jacqueline Powell",345,"Newport Beach","California","US","United States","92625"
11258,352,"Xavier Hill",352,"Palo Alto","California","US","United States","94303"
11259,548,"Victoria C Stewart",548,"Salem","Oregon","US","United States","97301"
11260,302,"Katelyn L Kelly",302,"Burlingame","California","US","United States","94010"
11261,359,"Stephanie Collins",359,"San Diego","California","US","United States","92102"
11262,60,"Jennifer Simmons",60,"Port Hammond","British Columbia","CA","Canada","V6B 3P7"
11263,612,"Trinity Richardson",612,"Burien","Washington","US","United States","98168"
11264,618,"Eduardo Martin",618,"Issaquah","Washington","US","United States","98027"
11265,623,"Elizabeth P Jones",623,"Kirkland","Washington","US","United States","98033"
11266,632,"Taylor Howard",632,"Port Orchard","Washington","US","United States","98366"
11267,302,"David Diaz",302,"Burlingame","California","US","United States","94010"
11268,312,"Katelyn A Carter",312,"Coronado","California","US","United States","92118"
11269,314,"Ryan W Foster",314,"Daly City","California","US","United States","94015"
11270,334,"Robert L Lee",334,"Lakewood","California","US","United States","90712"
11271,360,"Danielle C Reed",360,"San Francisco","California","US","United States","94109"
11272,300,"Lauren L Martinez",300,"Beverly Hills","California","US","United States","90210"
11273,331,"Nathan E Lal",331,"La Jolla","California","US","United States","92806"
11274,609,"Kyle M Foster",609,"Bellingham","Washington","US","United States","98225"
11275,310,"Jenny D Rai",310,"Colma","California","US","United States","94014"
11276,49,"Nancy E Chapman",49,"Cliffside","British Columbia","CA","Canada","V8Y 1L1"
11277,62,"Charles P Jackson",62,"Royal Oak","British Columbia","CA","Canada","V8X"
11278,614,"Jonathan Phillips",614,"Edmonds","Washington","US","United States","98020"
11279,616,"Amanda S Cook",616,"Everett","Washington","US","United States","98201"
11280,626,"Robert Collins",626,"Lynnwood","Washington","US","United States","98036"
11281,301,"Megan J Barnes",301,"Burbank","California","US","United States","91502"
11282,612,"Christian A Thomas",612,"Burien","Washington","US","United States","98168"
11283,299,"Arturo Lal",299,"Berkeley","California","US","United States","94704"
11284,307,"Theresa Serrano",307,"Chula Vista","California","US","United States","91910"
11285,322,"Jeremy J Anderson",322,"Fremont","California","US","United States","94536"
11286,374,"Hunter D Griffin",374,"Torrance","California","US","United States","90505"
11287,49,"Henry B Garcia",49,"Cliffside","British Columbia","CA","Canada","V8Y 1L1"
11288,301,"Cindy K Sanchez",301,"Burbank","California","US","United States","91502"
